Head x, Head y, Head z, Spine x, Spine y, Spine z, Left Shoulder x, Left Shoulder y, Left Shoulder z, Right Shoulder x, Right Shoulder y, Right Shoulder z, Hips x, Hips y, Hips z, Left Leg x, Right Leg x, Left Leg y, Right Leg y, Left Leg z, Right Leg z
1.425531,10.07508,30.19312,1.381235,9.393673,30.22804,1.564459,9.839703,30.14008,1.44556,9.851376,30.27613,1.387615,9.241072,30.22874,1.050346,8.574548,30.11874,1.564459,8.491243,30.14008
0.9865112,10.07384,30.20998,0.9513798,9.394565,30.22002,0.6916695,9.845281,30.14817,1.023123,9.847575,30.28498,0.9492435,9.241872,30.22298,1.024963,8.470896,30.10198,0.6916695,8.508211,30.14817
0.4932213,9.963522,30.22826,0.4794292,9.279956,30.20741,0.2453976,9.738348,30.16047,0.5211601,9.731068,30.29643,0.4888229,9.127573,30.21183,0.772131,8.398634,30.06639,0.2453976,8.391792,30.16047
0.08528328,10.31522,30.22783,0.03725624,9.632827,30.22902,-0.04136086,10.08482,30.16435,0.1039295,10.08503,30.30069,0.03816795,9.480236,30.23562,-0.1005859,8.737013,30.0328,-0.04136086,8.712675,30.16435
-0.5446491,10.03293,30.21553,-0.5556717,9.352346,30.24165,-0.4136677,9.802666,30.15511,-0.5061607,9.810487,30.2911,-0.5514889,9.199759,30.24691,-0.9431496,8.571886,30.11364,-0.4136677,8.446441,30.15511
-0.8715096,10.16567,30.23743,-0.9112644,9.484303,30.27925,-0.7478943,9.929699,30.1898,-0.8557549,9.943478,30.32434,-0.9028873,9.331818,30.28179,-1.250393,8.67371,30.15833,-0.7478943,8.579377,30.1898
-1.466974,10.29221,30.20303,-1.479483,9.611525,30.22455,-1.737106,10.06375,30.13974,-1.419909,10.06763,30.27677,-1.473776,9.458991,30.22995,-1.420094,8.688435,30.11859,-1.737106,8.751977,30.13974
-1.928923,9.856808,30.28978,-1.938753,9.174942,30.25855,-2.395443,9.632752,30.21767,-1.885302,9.625762,30.35459,-1.932076,9.022513,30.25154,-1.674604,8.299557,30.09852,-2.395443,8.44864,30.21767
-2.45035,10.06178,30.2783,-2.485479,9.378792,30.28131,-2.665539,9.832945,30.20876,-2.420662,9.831148,30.34582,-2.482151,9.226369,30.2905,-2.62151,8.476393,30.10632,-2.665539,8.495808,30.20876
-2.946325,10.02172,30.26814,-2.959192,9.341407,30.29678,-2.840048,9.792015,30.20886,-2.908089,9.798657,30.34484,-2.956278,9.18892,30.30499,-3.311638,8.531861,30.16096,-2.840048,8.435628,30.20886
-3.468483,9.947201,30.23221,-3.522615,9.267479,30.27373,-3.27462,9.711034,30.18186,-3.455818,9.7246,30.31585,-3.519787,9.114875,30.27942,-3.906218,8.4851,30.14978,-3.27462,8.402347,30.18186
-3.955265,10.09458,30.20642,-3.974884,9.41466,30.2254,-4.210373,9.866051,30.14359,-3.909456,9.870008,30.28064,-3.972729,9.262001,30.22978,-3.99666,8.493219,30.11974,-4.210373,8.540649,30.14359
-4.400927,10.19748,30.2327,-4.40357,9.51368,30.21481,-4.545721,9.971323,30.16648,-4.364416,9.967071,30.30343,-4.390572,9.361542,30.21116,-4.171375,8.622851,30.05772,-4.545721,8.607101,30.16648
-4.739296,10.10644,30.23036,-4.780205,9.423532,30.23446,-5.017984,9.877818,30.15747,-4.708921,9.874659,30.29446,-4.777308,9.271202,30.24521,-4.787611,8.498817,30.06218,-5.017984,8.562684,30.15747
