Head x, Head y, Head z, Spine x, Spine y, Spine z, Left Shoulder x, Left Shoulder y, Left Shoulder z, Right Shoulder x, Right Shoulder y, Right Shoulder z, Hips x, Hips y, Hips z, Left Leg x, Right Leg x, Left Leg y, Right Leg y, Left Leg z, Right Leg z
4.398911,8.081794,30.21478,4.374341,7.397823,30.20481,4.013348,7.854634,30.14478,4.430011,7.849811,30.2818,4.384496,7.245525,30.21032,4.502004,6.483704,30.03354,4.013348,6.606266,30.14478
3.850579,8.63698,30.21224,3.82825,7.954547,30.22975,3.80446,8.406796,30.15233,3.882629,8.410493,30.28885,3.832618,7.802004,30.23607,3.523815,7.123956,30.06307,3.80446,7.042933,30.15233
3.324475,8.823559,30.18946,3.305748,8.142059,30.22015,3.505773,8.590927,30.13004,3.356075,8.600813,30.26564,3.309933,7.989453,30.22485,2.900326,7.373911,30.10028,3.505773,7.247417,30.13004
2.789716,8.901339,30.14859,2.75958,8.220285,30.18072,2.722036,8.668669,30.09365,2.822006,8.677662,30.23023,2.764062,8.06763,30.18285,2.535763,7.347964,30.06777,2.722036,7.309138,30.09365
2.283527,8.684372,30.17441,2.282916,8.003227,30.17454,1.954517,8.458444,30.11004,2.332618,8.458793,30.24714,2.290056,7.850673,30.1724,2.417286,7.092852,30.04088,1.954517,7.182398,30.11004
1.786327,8.296551,30.2098,1.763202,7.612729,30.19902,1.391274,8.069609,30.14013,1.818794,8.064742,30.27715,1.773419,7.460402,30.20356,1.914882,6.701848,30.03212,1.391274,6.827865,30.14013
1.305859,8.197868,30.21271,1.279988,7.515227,30.22516,1.203971,7.968143,30.15207,1.336269,7.970184,30.2887,1.2845,7.362679,30.23123,1.007236,6.670252,30.04611,1.203971,6.609303,30.15207
0.843192,8.216508,30.19487,0.8302963,7.535684,30.22331,1.002556,7.985286,30.13452,0.8794781,7.994267,30.2703,0.8345719,7.383091,30.22838,0.4225464,6.770567,30.10024,1.002556,6.635055,30.13452
0.3336009,8.561968,30.1518,0.3002528,7.88065,30.18493,0.3558559,8.328268,30.09766,0.3618511,8.338462,30.23396,0.3055111,7.728011,30.18644,0.01293847,7.03858,30.07146,0.3558559,6.965444,30.09766
-0.1725058,8.946881,30.16668,-0.177559,8.265711,30.17327,-0.4853738,8.719773,30.10366,-0.1254141,8.721822,30.24074,-0.1705354,8.11314,30.17227,-0.07191611,7.351193,30.0506,-0.4853738,7.434305,30.10366
-0.6816195,9.081129,30.20557,-0.6992421,8.397631,30.19273,-1.095692,8.854683,30.13655,-0.6451159,8.850014,30.27357,-0.6895267,8.245212,30.19429,-0.4932929,7.497842,30.03728,-1.095692,7.62746,30.13655
-1.185394,9.244504,30.21574,-1.213455,8.561487,30.22168,-1.346972,9.015324,30.15271,-1.156353,9.015432,30.28942,-1.208992,8.408946,30.22797,-1.436695,7.695421,30.03515,-1.346972,7.666511,30.15271
-1.686622,9.170134,30.1992,-1.697645,8.489552,30.22532,-1.55564,8.93987,30.13878,-1.648134,8.947691,30.27477,-1.693462,8.336963,30.23058,-2.085123,7.70909,30.0973,-1.55564,7.583645,30.13878
-2.434651,9.150055,30.14483,-2.461067,8.469425,30.17453,-2.584804,8.918719,30.0885,-2.398062,8.926244,30.22529,-2.456738,8.316779,30.17749,-2.611243,7.572242,30.06229,-2.584804,7.57302,30.0885
-2.912384,9.21497,30.17975,-2.910496,8.533683,30.17386,-3.261153,8.989929,30.11406,-2.862452,8.988549,30.25116,-2.903236,8.381143,30.1712,-2.760317,7.626118,30.02958,-3.261153,7.725931,30.11406
-3.396832,9.385523,30.21124,-3.422803,8.701297,30.20249,-3.767933,9.15796,30.14064,-3.367501,9.153438,30.27764,-3.413087,8.549017,30.20918,-3.335912,7.783901,30.02402,-3.767933,7.899996,30.14064
-3.933568,9.696915,30.2038,-3.954046,9.01481,30.22341,-3.948516,9.466721,30.14407,-3.900188,9.471104,30.28055,-3.949906,8.862266,30.22985,-4.271972,8.190551,30.06377,-3.948516,8.101579,30.14407
-4.446087,9.734294,30.17832,-4.469128,9.052642,30.21,-4.25683,9.501019,30.11979,-4.417011,9.51133,30.25533,-4.464764,8.900026,30.21422,-4.869532,8.280568,30.09082,-4.25683,8.160753,30.11979
-5.137737,9.954501,30.15142,-5.153108,9.273611,30.17157,-5.401022,9.725231,30.09135,-5.094936,9.730245,30.22834,-5.147321,9.121004,30.174,-5.164408,8.354942,30.05782,-5.401022,8.416368,30.09135
-5.626073,9.916012,30.19466,-5.628287,9.233283,30.18042,-6.030452,9.69087,30.12701,-5.580866,9.686745,30.26406,-5.620162,9.080786,30.17782,-5.417374,8.337317,30.03478,-6.030452,8.462296,30.12701
-6.144586,9.978401,30.21969,-6.17309,9.294324,30.21441,-6.430436,9.750004,30.14969,-6.11725,9.74703,30.28658,-6.166819,9.141915,30.2222,-6.244435,8.385731,30.02707,-6.430436,8.442878,30.14969
-6.625237,10.08551,30.20772,-6.641153,9.404241,30.23041,-6.572833,9.855557,30.148,-6.588668,9.861196,30.28432,-6.637467,9.251675,30.23661,-6.983237,8.592602,30.0842,-6.572833,8.491272,30.148
19.44299,10.07024,30.23187,19.43225,9.389695,30.2584,19.58104,9.83989,30.17139,19.48149,9.847958,30.30734,19.43651,9.237106,30.26359,19.03907,8.613618,30.13217,19.58104,8.484837,30.17139
18.9085,10.04596,30.18742,18.87272,9.364467,30.22087,18.99366,9.811563,30.13339,18.93363,9.822533,30.26942,18.87879,9.211857,30.2222,18.54119,8.548853,30.10377,18.99366,8.453799,30.13339
18.39837,10.12127,30.19081,18.38935,9.440243,30.20324,18.10152,9.89316,30.12872,18.44395,9.89677,30.26576,18.39611,9.287657,30.2036,18.4561,8.522167,30.08629,18.10152,8.599524,30.12872
17.88557,10.01876,30.23384,17.87443,9.335556,30.21911,17.46983,9.793004,30.16547,17.92587,9.788212,30.30249,17.88347,9.183091,30.21819,18.13048,8.450455,30.07813,17.46983,8.568631,30.16547
17.38822,10.10005,30.24963,17.3586,9.416707,30.24949,17.17241,9.871172,30.18272,17.41628,9.869961,30.3195,17.36334,9.2642,30.25638,17.19493,8.529581,30.0628,17.17241,8.536567,30.18272
16.88125,10.08878,30.23266,16.86912,9.408063,30.25711,16.984,9.858872,30.17248,16.91974,9.865704,30.30863,16.873,9.255476,30.26264,16.50495,8.61067,30.12237,16.984,8.498607,30.17248
16.29674,10.0395,30.1869,16.26041,9.358108,30.22081,16.40944,9.804867,30.13252,16.32119,9.816294,30.26842,16.26665,9.205506,30.22228,15.91469,8.551588,30.10219,16.40944,8.451322,30.13252
15.78074,10.10527,30.18478,15.76965,9.424261,30.19983,15.4938,9.876763,30.12335,15.82541,9.880841,30.26038,15.77609,9.271665,30.20092,15.81057,8.505054,30.08374,15.4938,8.578354,30.12335
15.28024,9.981087,30.22777,15.27229,9.297987,30.2131,14.86687,9.755517,30.15964,15.32221,9.750933,30.29667,15.28102,9.145508,30.21156,15.5139,8.409132,30.07054,14.86687,8.530907,30.15964
14.77823,10.0254,30.24517,14.74896,9.341785,30.24315,14.5382,9.796679,30.17711,14.80599,9.794849,30.31394,14.75416,9.18931,30.25039,14.6155,8.446285,30.05577,14.5382,8.470466,30.17711
14.2585,9.895336,30.22869,14.24514,9.214433,30.25258,14.34482,9.665418,30.16868,14.29639,9.671844,30.30489,14.24893,9.061852,30.25834,13.88848,8.411987,30.11389,14.34482,8.303503,30.16868
13.71383,9.603964,30.18861,13.67787,8.922769,30.22288,13.87891,9.369175,30.13325,13.73777,9.381134,30.26885,13.6841,8.770172,30.22483,13.30686,8.132912,30.10203,13.87891,8.026453,30.13325
13.19498,9.534433,30.17305,13.17843,8.853601,30.1944,12.94031,9.304981,30.11337,13.23728,9.310227,30.25035,13.18402,8.700991,30.19705,13.15376,7.935714,30.08112,12.94031,7.992511,30.11337
12.67618,9.460295,30.21704,12.67497,8.777731,30.20334,12.27733,9.235258,30.14958,12.72217,9.231316,30.28663,12.68298,8.625229,30.20066,12.87705,7.879823,30.05693,12.27733,8.003108,30.14958
12.16292,9.593043,30.23975,12.13465,8.908889,30.23403,11.86697,9.364719,30.16953,12.19026,9.361531,30.30644,12.1413,8.756498,30.24186,12.07952,7.997853,30.04663,11.86697,8.062525,30.16953
11.6471,9.671199,30.22416,11.63045,8.989832,30.2465,11.69022,9.441218,30.16447,11.68324,9.446681,30.30082,11.63418,8.837271,30.25277,11.29149,8.176422,30.09855,11.69022,8.076527,30.16447
11.11147,9.527864,30.19069,11.07998,8.846519,30.22406,11.2988,9.293636,30.13407,11.13702,9.30497,30.26956,11.08533,8.693903,30.22694,10.69532,8.06436,30.10402,11.2988,7.955334,30.13407
10.5812,9.399824,30.1631,10.55885,8.719218,30.18959,10.37743,9.169414,30.10529,10.62063,9.175846,30.24219,10.56358,8.566589,30.19281,10.46593,7.809472,30.07766,10.37743,7.838414,30.10529
10.05587,8.900583,30.20291,10.05786,8.218819,30.1928,9.685356,8.675808,30.13638,10.10487,8.67308,30.27346,10.06537,8.066294,30.18995,10.2243,7.314065,30.04523,9.685356,7.425495,30.13638
9.538517,8.38974,30.23327,9.511383,7.705391,30.22568,9.196354,8.161805,30.1624,9.56643,8.157731,30.29938,9.519877,7.55308,30.23326,9.536951,6.787425,30.04099,9.196354,6.885221,30.1624
9.044661,8.260965,30.22348,9.024724,7.579009,30.24364,9.039787,8.030813,30.16379,9.078536,8.035379,30.30025,9.028774,7.426463,30.2501,8.70293,6.7566,30.08617,9.039787,6.665496,30.16379
8.479904,8.406511,30.18917,8.451046,7.724968,30.22199,8.672308,8.172571,30.13197,8.50631,8.183484,30.26746,8.455941,7.572348,30.22537,8.059423,6.947059,30.10262,8.672308,6.834829,30.13197
7.961145,8.894058,30.15746,7.936608,8.213497,30.18566,7.782526,8.663227,30.10041,7.999267,8.670171,30.23726,7.941071,8.060859,30.1888,7.815702,7.309181,30.07362,7.782526,7.324728,30.10041
7.436366,9.098215,30.19502,7.438564,8.416743,30.18694,7.077554,8.873371,30.12888,7.486063,8.871308,30.26597,7.445924,8.26421,30.18415,7.596017,7.510448,30.04018,7.077554,7.615632,30.12888
6.910648,9.067666,30.22737,6.883976,8.383346,30.21928,6.552367,8.839891,30.15655,6.939113,8.835586,30.29354,6.893187,8.23106,30.22653,6.941333,7.465051,30.03711,6.552367,7.573529,30.15655
6.388116,8.790483,30.21947,6.367097,8.108232,30.23852,6.363117,8.56025,30.1597,6.421001,8.564449,30.29619,6.371328,7.95569,30.24494,6.053052,7.282148,30.07673,6.363117,7.195416,30.1597
5.876146,8.203617,30.195,5.854599,7.52197,30.22641,6.063497,7.970519,30.13613,5.905965,7.980702,30.27168,5.858862,7.369357,30.23082,5.452434,6.751134,30.10716,6.063497,6.629354,30.13613
5.373732,7.872764,30.15252,5.34501,7.191857,30.18386,5.271479,7.640586,30.09708,5.407706,7.649024,30.23376,5.349347,7.039202,30.18631,5.149446,6.308809,30.07092,5.271479,6.285577,30.09708
4.894838,7.839915,30.18153,4.895497,7.158746,30.17922,4.558596,7.614383,30.11662,4.944443,7.614055,30.25373,4.902678,7.006197,30.1768,5.037385,6.24967,30.04111,4.558596,6.342707,30.11662
4.398911,8.081794,30.21478,4.374341,7.397823,30.20481,4.013348,7.854634,30.14478,4.430011,7.849811,30.2818,4.384496,7.245525,30.21032,4.502004,6.483704,30.03354,4.013348,6.606266,30.14478
3.903975,8.598774,30.21445,3.879336,7.916238,30.22908,3.82468,8.368847,30.15426,3.935008,8.371599,30.29085,3.883835,7.76369,30.2352,3.592187,7.077816,30.05448,3.82468,7.007504,30.15426
3.380178,8.81678,30.19482,3.365424,8.13573,30.22418,3.549026,8.585037,30.13473,3.414882,8.594414,30.27044,3.369681,7.983133,30.22913,2.955546,7.371945,30.10255,3.549026,7.237411,30.13473
2.840325,8.895129,30.15102,2.808238,8.213911,30.18385,2.828235,8.661819,30.09667,2.870173,8.671567,30.23308,2.813152,8.061263,30.18555,2.545122,7.35932,30.07114,2.828235,7.298803,30.09667
2.334038,8.726427,30.1702,2.33084,8.045242,30.17408,2.014148,8.499804,30.10667,2.381914,8.501135,30.24376,2.337942,7.892679,30.17255,2.45093,7.132618,30.04765,2.014148,7.21827,30.10667
1.836098,8.317774,30.20806,1.815888,7.634148,30.1961,1.42705,8.091079,30.13876,1.870881,8.086384,30.27578,1.825855,7.481762,30.19886,1.998817,6.729118,30.03496,1.42705,6.859628,30.13876
1.353474,8.202824,30.21517,1.326251,7.519968,30.22387,1.217079,7.973459,30.15347,1.383038,7.974295,30.29014,1.330675,7.367418,30.22999,1.079586,6.663524,30.03949,1.217079,6.619687,30.15347
0.8843666,8.201773,30.19814,0.8730863,7.521155,30.22516,1.027743,7.971202,30.1377,0.9223053,7.979499,30.27361,0.8773488,7.368566,30.23032,0.4762357,6.747783,30.09969,1.027743,6.61728,30.1377
0.3841229,8.511219,30.15519,0.3489488,7.829766,30.18857,0.4536193,8.276993,30.10113,0.410028,8.287768,30.23724,0.35481,7.677148,30.18994,0.02826977,7.007211,30.07233,0.4536193,6.9174,30.10113
-0.1212086,8.924696,30.16179,-0.1292456,8.243622,30.17275,-0.4220943,8.696833,30.09946,-0.07525396,8.700052,30.23651,-0.1224178,8.091039,30.17277,-0.05275615,7.326236,30.05429,-0.4220943,7.405164,30.09946
-0.6330212,9.066612,30.20386,-0.6457794,8.383321,30.18961,-1.048351,8.840675,30.13533,-0.5936661,8.835913,30.27235,-0.6365692,8.230863,30.18931,-0.4021372,7.494118,30.04508,-1.048351,7.615574,30.13533
-1.134363,9.236675,30.21826,-1.163596,8.553402,30.21965,-1.336745,9.00771,30.15232,-1.10606,9.00683,30.28909,-1.158926,8.400887,30.22639,-1.342301,7.671089,30.03269,-1.336745,7.669183,30.15232
-1.686969,9.170238,30.19922,-1.697993,8.489656,30.22534,-1.555988,8.939975,30.1388,-1.648481,8.947796,30.27479,-1.693809,8.337068,30.2306,-2.08547,7.709195,30.09732,-1.555988,7.58375,30.1388
